symbol,contract_id,direction,entry_time_utc,entry,stop,target,rr_planned,split,exit_time_utc,exit_reason,r_result,mark_r,roll_level,atr_15m,atr_4h
CASHCATUSDC,30000095,LONG,2026-08-25T00:15:00+00:00,0.19708,0.1903218567533922,0.21759054237570577,3.034937500917999,True,2026-08-25T01:00:00+00:00,TP1_THEN_TP2,2.5174687504589994,0.0,0.1947,0.008756286493215635,0.01979783049717687
LITEUSDC,30000033,SHORT,2026-08-25T00:15:00+00:00,820.88,830.8992560848279,790.6494928221086,3.0172406935150744,True,2026-08-25T01:45:00+00:00,SL,-1.0,0.0,826.18,3.45851216965583,18.79797128843429
UAIUSDC,30000131,LONG,2026-08-25T00:15:00+00:00,0.3548,0.34602533531857854,0.37659520376114786,2.4838788207251596,False,2026-08-25T01:30:00+00:00,SL,-1.0,0.0,0.3498,0.005349329362842901,0.022019184955408614
UAIUSDC,30000131,LONG,2026-08-25T00:45:00+00:00,0.3562,0.34697903425425675,0.37659520376114786,2.2118294681403627,False,2026-08-25T01:30:00+00:00,SL,-1.0,0.0,0.3498,0.005241931491486515,0.022019184955408614
SOXLUSDC,30000088,SHORT,2026-08-25T02:15:00+00:00,111.69,113.033600631716,107.19854490214225,3.3428497961640726,True,2026-08-25T03:30:00+00:00,SL,-1.0,0.0,112.45,0.9872012634319953,3.6341796085689304
SOXSUSDC,30000090,LONG,2026-08-25T02:15:00+00:00,50.46,49.88189841290879,52.413701497851136,3.3795124273597352,True,2026-08-25T03:30:00+00:00,SL,-1.0,0.0,50.25,0.3962031741824195,1.3051940085954727
SOXLUSDC,30000088,SHORT,2026-08-25T02:45:00+00:00,112.0,113.24284166429605,107.19854490214225,3.8632878473520686,True,2026-08-25T03:30:00+00:00,SL,-1.0,0.0,112.45,0.9856833285921162,3.6341796085689304
SOXSUSDC,30000090,LONG,2026-08-25T02:45:00+00:00,50.32,49.72601596767174,52.413701497851136,3.5248447498569737,True,2026-08-25T03:30:00+00:00,SL,-1.0,0.0,50.25,0.40796806465651925,1.3051940085954727
XAUUSDC,30000005,LONG,2026-08-25T03:15:00+00:00,4635.3,4614.674675437255,4679.4668752778025,2.1413905581675046,False,2026-08-25T13:30:00+00:00,SL,-1.0,0.0,4634.8,13.050649125489215,28.53249888879315
UAIUSDC,30000131,LONG,2026-08-25T03:30:00+00:00,0.3518,0.3432909980309565,0.37659520376114786,2.9139967121120565,False,2026-08-25T07:15:00+00:00,SL,-1.0,0.0,0.3498,0.005618003938087078,0.022019184955408614
QQQUSDC,30000011,SHORT,2026-08-25T03:45:00+00:00,708.87,710.2664524240613,704.2691032584619,3.2947035375235774,True,2026-08-25T05:30:00+00:00,SL,-1.0,0.0,709.88,0.7729048481224995,2.9164130338477707
UAIUSDC,30000131,LONG,2026-08-25T03:45:00+00:00,0.3519,0.3433699545415524,0.37659520376114786,2.8950846606205776,False,2026-08-25T07:15:00+00:00,SL,-1.0,0.0,0.3498,0.005460090916895232,0.022019184955408614
EWYUSDC,30000018,SHORT,2026-08-25T04:00:00+00:00,174.92,176.38809310342214,170.92291720724455,2.7226357670628456,False,2026-08-25T04:30:00+00:00,SL,-1.0,0.0,175.96,0.8561862068442344,2.5316688289782445
QQQUSDC,30000011,SHORT,2026-08-25T04:00:00+00:00,708.71,710.2567258754509,704.2952387400003,2.854262238751799,False,2026-08-25T05:30:00+00:00,SL,-1.0,0.0,709.88,0.753451750901832,3.020954960001501
EWYUSDC,30000018,SHORT,2026-08-25T04:30:00+00:00,175.95,176.82781905589906,170.92291720724455,5.726787039963116,True,2026-08-25T04:45:00+00:00,SL,-1.0,0.0,175.96,0.8756381117981226,2.5316688289782445
GOOGLUSDC,30000022,LONG,2026-08-25T04:30:00+00:00,348.63,347.8454810978492,351.25074156245824,3.340571597794932,True,2026-08-25T05:30:00+00:00,SL,-1.0,0.0,348.58,0.32903780430163143,2.3570337501669987
UAIUSDC,30000131,LONG,2026-08-25T04:30:00+00:00,0.3564,0.34686259506099787,0.37665626063535157,2.123875494948937,False,2026-08-25T07:15:00+00:00,SL,-1.0,0.0,0.3498,0.005474809878004321,0.02177495745859371
GOOGLUSDC,30000022,LONG,2026-08-25T04:45:00+00:00,348.72,347.8472093049501,351.25074156245824,2.8995973224869527,False,2026-08-25T05:30:00+00:00,SL,-1.0,0.0,348.58,0.3255813900997537,2.3570337501669987
TSMUSDC,30000038,SHORT,2026-08-25T04:45:00+00:00,411.97,412.83147984604375,406.50121596405717,6.348127656216013,True,2026-08-25T05:45:00+00:00,SL,-1.0,0.0,412.24,0.8429596920874812,3.524863856228655
QQQUSDC,30000011,SHORT,2026-08-25T05:00:00+00:00,709.68,710.565984432286,704.2952387400003,6.077715435818515,True,2026-08-25T06:00:00+00:00,SL,-1.0,0.0,709.88,0.751968864571867,3.020954960001501
RKLBUSDC,30000036,SHORT,2026-08-25T05:00:00+00:00,69.08,69.41849042904735,68.17425777245062,2.6758281765853713,False,2026-08-25T06:30:00+00:00,SL,-1.0,0.0,69.14,0.21698085809469786,1.177031089802478
SAMSUNGUSDC,30000079,SHORT,2026-08-25T05:00:00+00:00,184.08,185.52948056942418,178.64510229467285,3.7495485072188797,True,2026-08-25T05:30:00+00:00,SL,-1.0,0.0,184.79,1.2589611388483541,3.820409178691474
SNDKUSDC,30000034,SHORT,2026-08-25T05:00:00+00:00,1506.81,1516.6648728827142,1428.7977104099589,7.91611322829711,True,2026-08-25T05:30:00+00:00,SL,-1.0,0.0,1507.99,8.649745765428479,36.95084163983584
SNXXUSDC,30000119,SHORT,2026-08-25T05:00:00+00:00,13.27,13.42410352784307,11.833430131175788,9.322108902575751,True,2026-08-25T05:30:00+00:00,SL,-1.0,0.0,13.31,0.1482070556861386,0.6937205247031499
TSMUSDC,30000038,SHORT,2026-08-25T05:00:00+00:00,411.77,412.82962847162577,406.50121596405717,4.972293758640641,True,2026-08-25T05:45:00+00:00,SL,-1.0,0.0,412.24,0.8392569432515027,3.524863856228655
QQQUSDC,30000011,SHORT,2026-08-25T05:15:00+00:00,709.5,710.562702100143,704.2952387400003,4.897667238353195,True,2026-08-25T06:00:00+00:00,SL,-1.0,0.0,709.88,0.7454042002860019,3.020954960001501
MUUSDC,30000035,SHORT,2026-08-25T05:45:00+00:00,927.08,932.638184297024,894.0668111383561,5.939563551233807,True,2026-08-25T09:15:00+00:00,SL,-1.0,0.0,929.49,3.7763685940480722,15.827244553424364
